english_word,nepali_translation
study,"पढ्नु, अध्यन गर्नु"
submit,"पेश गर्नु"
subsidy,"अनदानु, आर्थिक सहायता"
subtract,"घटाउनु"
subtraction,"घटाउ"
sugar,"चिनी"
suggestion,"सुझाव, प्र्स्ताब"
summon,"डाक्नु, समन गर्नु, आह्ववान गर्नु"
sun,"सुर्य"
sunday,"आइतवार"
sunshine,"घाम"
sunlight,"घाम"
superstition,"कुरुती, अन्धविश्वास, रुढिबादी"
supervise,"रेखदेख गर्नु"
supervision,"निर्देशन"
support,"समर्थन, आधार, पालन-पोषण"
surplus,"बढ्ता, बाँकी रहेको कुरा"
survey,"नापजांच, नापी, सर्बेक्षण"
suspicion,"शंका"
sweep,"बडार्नु, बढार्नु"
swim,"पौडी खेल्ने"
swing,"पिङ्ग"
symbol,"संकेत, इशारा, चिन्ह"
table,"टेबुल"
talk,"कुरा गर्नु"
taste,"स्वाद"
tax,"कर, कर लगाउनु"
tea,"चिया"
teach,"सिकाउनु, पढाउनु"
teacher,"शिक्षक, गुरु"
technician,"प्राबिधिकज्ञ"
tell,"भन्नु"
temple,"मन्दिर"
test,"जांच"
thing,"कुरा, चिज"
things,"चिजबिज"
think,"सोच्नु, विचार गर्नु"
thirst,"तिर्खा"
thought,"विचार"
thousand,"हजार"
throat,"घाँटी"
thursday,"बिहिबार"
ticket,"टिकट"
tika,"टिका"
time,"बेला, समय, बखत, काल / पटक, पल्ट, चोटी"
tired,"थाक्नु"
tobacco,"तमाखु, सुर्ती"
tools,"औजार"
tooth,"दाँत"
total,"जम्मा"
tour,"भ्र्मण"
tourist,"पर्यटक, टुरिस्ट"
trade,"व्यापार"
tragedy,"बियोग"
training,"तालिम"
transfer,"सर्नु, सरुवा गर्नु"
translation,"अनुबाद, उल्था"
transportation,"यातायात"
travel,"घुम्नु, यात्रा गर्नु, सफर गर्नु"
tree,"रुख, बोट"
trouble,"तकलिफ, दुःख"
truth,"सत्यता"
try,"कोशिश गर्नु"
tuesday,"मङ्गलबार"
turn,"पालो"
turtle,"कछुवा"
type,"थोक, किसिम, प्र्कार, खाल"
umbrella,"छाता"
unanimity,"एकमतता, सर्वसम्मति, एकमत, मतैक्य"
unification,"एकिकरण"
unit,"एकाई"
united Nations,"संयुत्त राष्ट्र् संघ"
unity,"एकता"
universe,"बिश्व"
university,"बिश्वबिधालय"
usage,"प्र्योग, व्यबहार"
use,"प्र्योग, चलन"
usefulness,"उपयोगिता, उपकारिता"
utensil,"भाँडा कुंडा"
utility,"उपयोगी, उपयुत्त, उपयोगिता"
vacancy,"रिक्त्त स्थान"
vacation,"बिदा, छुट्टी"
value,"मुल्य"
vegetable garden,"साग-बारि, तर्कारी बारी"
venus,"शुक्र्"
village,"गाउँ"
visit,"दशर्न गर्नु"
voluntary labor,"श्र्मदान"
wait,"पर्खनु, पर्खिनु"
walk,"हिड्नु, हिडेर जानु"
want,"चाहनु"
warehouse,"गोदाम"
wash,"धुनु, माझ्नु"
watch,"घडी, हेर्नु"
watchman,"पाले"
water,"पानी"
water hole,"कूवा"
water pipe,"नली"
water resources,"जल श्रोत"
water supply,"खाने पानी बितरण"
watershed,"जलाधार"
way,"उपाय"
wealth,"सम्पती"
wear,"लगाउनु, लाउनु"
weather,"मौसम"
wednesday,"बुधबार"
weight,"तौल"
well,"इनार"
west,"परिश्र्म"
wheat,"गहुँ"
window,"झ्याल"
work,"काम, कार्य, काम गर्नु"
worker,"कार्यकर्ता, कामदार"
world,"संसार, लोक"
worry,"पिर"
worship,"पुजा गर्नु"
writer,"लेखक"
yak,"याक, चौरी"
year,"बर्ष, साल"
yogurt,"दहि"
youth,"जवान"
zonal commissioner,"अञ्चलाधिश"
zone,"अञ्चल"
zoology,"प्राणी-बिज्ञान"
